id,name,size,price,rating,img,url,subB
prod6355200,Avaira Vitality Toric,1.0 Box ,$49.99,4.0,//pics.drugstore.com/prodimg/596659/155.jpg,https://www.walgreens.com/store/c/avaira-vitality-toric-avaira-vitality-toric/ID=prod6355200-product,Avaira Vitality Toric
prod6091901,Proclear Multifocal Toric,1.0 Box ,$167.99,4.1,//pics.drugstore.com/prodimg/213734/155.jpg,https://www.walgreens.com/store/c/proclear-multifocal-toric-proclear-multifocal-toric/ID=prod6091901-product,Proclear Multifocal Toric
prod3898680,Proclear MultiFocal,1.0 Box ,$92.49,4.5,//pics.drugstore.com/prodimg/164164/155.jpg,https://www.walgreens.com/store/c/proclear-multifocal-proclear-multifocal/ID=prod3898680-product,Proclear Multifocal
prod2301408,Freshlook Dimensions,1.0 Box ,$78.99,4.3,//pics.drugstore.com/prodimg/90968/155.jpg,https://www.walgreens.com/store/c/freshlook-dimensions-freshlook-dimensions/ID=prod2301408-product,FreshLook Dimensions
prod3898685,Proclear Toric XR,1.0 Box ,$144.49,3.4,//pics.drugstore.com/prodimg/213732/155.jpg,https://www.walgreens.com/store/c/proclear-toric-xr-proclear-toric-xr/ID=prod3898685-product,Proclear Toric XR
prod3898675,Biomedics Toric,1.0 Box ,$44.99,4.4,//pics.drugstore.com/prodimg/91018/155.jpg,https://www.walgreens.com/store/c/biomedics-toric-biomedics-toric/ID=prod3898675-product,Biomedics Toric
prod2600990,PureVision Multi-Focal,1.0 Box ,$82.99,4.7,//pics.drugstore.com/prodimg/153953/155.jpg,https://www.walgreens.com/store/c/purevision-multi-focal-purevision-multi-focal/ID=prod2600990-product,PureVision Multi-Focal
prod6386200,BioTrue ONEday for Presbyopia 90 pack,1.0 Box ,$88.99,4.9,//pics.drugstore.com/prodimg/607225/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-biotrue-oneday-for-presbyopia-90-pack/ID=prod6386200-product,Biotrue ONEday
prod2302116,Freshlook Colors,1.0 Box ,$78.99,4.3,//pics.drugstore.com/prodimg/90783/155.jpg,https://www.walgreens.com/store/c/freshlook-colors-freshlook-colors/ID=prod2302116-product,FreshLook Colors
prod3898678,ClearSight 1 Day 90 pack,1.0 Box ,$67.99,4.7,//pics.drugstore.com/prodimg/172766/155.jpg,https://www.walgreens.com/store/c/clearsight-(biomedics)-1-day-90-pk-clearsight-1-day-90-pack/ID=prod3898678-product,ClearSight (Biomedics) 1 Day 90 pk
